--Level Data--
10016.0 480.0
74.0 408.0
0 MainMusicMOD
--Tile Data--
1 64.0 416.0
4 64.0 448.0
1 32.0 416.0
4 32.0 448.0
0 0.0 416.0
3 0.0 448.0
1 96.0 416.0
4 96.0 448.0
1 128.0 416.0
4 128.0 448.0
1 160.0 416.0
4 160.0 448.0
1 192.0 416.0
4 192.0 448.0
1 224.0 416.0
4 224.0 448.0
1 256.0 416.0
4 256.0 448.0
1 288.0 416.0
4 288.0 448.0
1 320.0 416.0
4 320.0 448.0
1 352.0 416.0
4 352.0 448.0
1 384.0 416.0
4 384.0 448.0
1 416.0 416.0
4 416.0 448.0
1 448.0 416.0
4 448.0 448.0
1 480.0 416.0
4 480.0 448.0
1 512.0 416.0
4 512.0 448.0
1 544.0 416.0
4 544.0 448.0
1 576.0 416.0
4 576.0 448.0
1 608.0 416.0
4 608.0 448.0
1 640.0 416.0
4 640.0 448.0
1 672.0 416.0
4 672.0 448.0
1 704.0 416.0
4 704.0 448.0
1 736.0 416.0
4 736.0 448.0
1 768.0 416.0
4 768.0 448.0
1 800.0 416.0
4 800.0 448.0
1 832.0 416.0
4 832.0 448.0
1 864.0 416.0
4 864.0 448.0
1 896.0 416.0
4 896.0 448.0
2 928.0 416.0
5 928.0 448.0
6 928.0 384.0

6 1056.0 384.0
0 1056.0 416.0
3 1056.0 448.0

1 1088.0 416.0
4 1088.0 448.0
1 1120.0 416.0
4 1120.0 448.0
1 1152.0 416.0
4 1152.0 448.0

9 1152.0 352.0
9 1152.0 384.0
7 1152.0 320.0
10 1184.0 352.0
10 1184.0 384.0
8 1184.0 320.0

1 1184.0 416.0
4 1184.0 448.0
1 1216.0 416.0
4 1216.0 448.0
1 1248.0 416.0
4 1248.0 448.0
1 1280.0 416.0
4 1280.0 448.0
1 1312.0 416.0
4 1312.0 448.0
1 1344.0 416.0
4 1344.0 448.0
1 1376.0 416.0
4 1376.0 448.0
1 1408.0 416.0
4 1408.0 448.0
1 1440.0 416.0
4 1440.0 448.0
1 1472.0 416.0
4 1472.0 448.0
1 1504.0 416.0
4 1504.0 448.0
1 1536.0 416.0
4 1536.0 448.0
1 1568.0 416.0
4 1568.0 448.0
1 1600.0 416.0
4 1600.0 448.0
1 1632.0 416.0
4 1632.0 448.0
1 1664.0 416.0
4 1664.0 448.0
1 1696.0 416.0
4 1696.0 448.0
1 1728.0 416.0
4 1728.0 448.0
1 1760.0 416.0
4 1760.0 448.0
1 1792.0 416.0
4 1792.0 448.0
1 1824.0 416.0
4 1824.0 448.0
1 1856.0 416.0
4 1856.0 448.0
1 1888.0 416.0
4 1888.0 448.0
1 1920.0 416.0
4 1920.0 448.0
2 1952.0 416.0
5 1952.0 448.0
--Bonus Data--
2 0 0 448.0 288.0
3 0 0 480.0 288.0
2 0 0 512.0 288.0
3 0 1 544.0 288.0
2 0 0 576.0 288.0

2 0 0 480.0 160.0
3 0 0 512.0 160.0
2 0 0 544.0 160.0
--Enemy Data--
0 0 0 1184.0 417.0
0 0 0 1664.0 416.0
0 0 0 1728.0 416.0
