[LVL]
BGFC=7495f5 BGSC=f5fefd
EGIX=7296 EGIY=319 EGX=7456 EGY=319
LVLW=7680 LVLH=480
MX=75 MY=408
MUSICT=0 MUSICN=MainMusicMOD
[TILE]
EI=0 EP=1 EX=7392 EY=160
EI=0 EP=1 EX=7360 EY=192
EI=0 EP=1 EX=7360 EY=224
EI=3 EP=2 EX=6640 EY=319
EI=0 EP=1 EX=6848 EY=192
EI=0 EP=1 EX=6880 EY=192
EI=0 EP=1 EX=6848 EY=224
EI=0 EP=1 EX=6816 EY=224
EI=0 EP=1 EX=6816 EY=192
EI=0 EP=1 EX=6720 EY=224
EI=0 EP=1 EX=6720 EY=192
EI=0 EP=1 EX=6688 EY=192
EI=0 EP=1 EX=6688 EY=224
EI=4 EP=2 EX=6528 EY=351
EI=10 EP=0 EX=6528 EY=448
EI=10 EP=0 EX=6528 EY=384
EI=9 EP=0 EX=6496 EY=448
EI=9 EP=0 EX=6496 EY=384
EI=8 EP=0 EX=6528 EY=352
EI=0 EP=1 EX=5536 EY=288
EI=0 EP=1 EX=5504 EY=288
EI=9 EP=0 EX=5504 EY=384
EI=7 EP=0 EX=5504 EY=352
EI=7 EP=2 EX=5656 EY=288
EI=7 EP=2 EX=5080 EY=128
EI=8 EP=2 EX=3320 EY=96
EI=0 EP=1 EX=7392 EY=192
EI=6 EP=0 EX=2688 EY=96
EI=6 EP=0 EX=2720 EY=96
EI=6 EP=0 EX=2784 EY=96
EI=6 EP=0 EX=2816 EY=96
EI=6 EP=0 EX=2848 EY=96
EI=6 EP=0 EX=2880 EY=96
EI=6 EP=0 EX=2944 EY=96
EI=6 EP=0 EX=2976 EY=96
EI=6 EP=0 EX=3008 EY=96
EI=6 EP=0 EX=3040 EY=96
EI=6 EP=0 EX=3072 EY=96
EI=6 EP=0 EX=3104 EY=96
EI=6 EP=0 EX=3168 EY=96
EI=6 EP=0 EX=3200 EY=96
EI=6 EP=0 EX=3264 EY=96
EI=6 EP=0 EX=3360 EY=96
EI=0 EP=1 EX=6656 EY=224
EI=6 EP=0 EX=3392 EY=96
EI=1 EP=1 EX=3232 EY=256
EI=1 EP=1 EX=3104 EY=256
EI=5 EP=2 EX=2272 EY=192
EI=2 EP=2 EX=2480 EY=93
EI=6 EP=0 EX=2176 EY=64
EI=6 EP=0 EX=2176 EY=96
EI=6 EP=0 EX=2016 EY=64
EI=4 EP=2 EX=608 EY=255
EI=7 EP=0 EX=576 EY=256
EI=2 EP=0 EX=608 EY=416
EI=9 EP=0 EX=512 EY=384
EI=8 EP=0 EX=544 EY=352
EI=7 EP=0 EX=512 EY=352
EI=0 EP=2 EX=335 EY=415
EI=3 EP=1 EX=224 EY=160
EI=1 EP=1 EX=256 EY=160
EI=1 EP=1 EX=192 EY=160
EI=6 EP=0 EX=4608 EY=0
EI=4 EP=0 EX=1664 EY=416
EI=6 EP=0 EX=4576 EY=0
EI=6 EP=0 EX=4544 EY=0
EI=6 EP=0 EX=4448 EY=0
EI=6 EP=0 EX=6784 EY=320
EI=3 EP=1 EX=4992 EY=128
EI=1 EP=0 EX=224 EY=416
EI=9 EP=0 EX=5376 EY=288
EI=3 EP=1 EX=4896 EY=128
EI=4 EP=0 EX=6112 EY=416
EI=3 EP=1 EX=4864 EY=128
EI=0 EP=1 EX=4288 EY=96
EI=0 EP=1 EX=4256 EY=96
EI=0 EP=1 EX=1280 EY=192
EI=0 EP=1 EX=416 EY=288
EI=0 EP=1 EX=4224 EY=96
EI=10 EP=0 EX=5792 EY=384
EI=6 EP=0 EX=4480 EY=0
EI=0 EP=1 EX=4096 EY=96
EI=0 EP=1 EX=6656 EY=192
EI=0 EP=1 EX=3936 EY=96
EI=10 EP=0 EX=5536 EY=448
EI=0 EP=1 EX=3840 EY=96
EI=6 EP=0 EX=7072 EY=320
EI=0 EP=1 EX=3776 EY=96
EI=6 EP=0 EX=6816 EY=320
EI=0 EP=1 EX=4000 EY=96
EI=5 EP=2 EX=3392 EY=288
EI=7 EP=0 EX=6496 EY=352
EI=5 EP=2 EX=4608 EY=288
EI=7 EP=2 EX=3064 EY=384
EI=5 EP=2 EX=3968 EY=160
EI=8 EP=0 EX=5792 EY=288
EI=6 EP=0 EX=6688 EY=320
EI=6 EP=0 EX=7040 EY=320
EI=1 EP=2 EX=4896 EY=256
EI=3 EP=1 EX=4832 EY=128
EI=0 EP=1 EX=4192 EY=96
EI=6 EP=0 EX=5088 EY=256
EI=6 EP=0 EX=3296 EY=96
EI=6 EP=0 EX=4960 EY=256
EI=6 EP=0 EX=4928 EY=256
EI=7 EP=0 EX=4320 EY=160
EI=5 EP=1 EX=224 EY=288
EI=6 EP=0 EX=4896 EY=256
EI=9 EP=0 EX=5696 EY=448
EI=3 EP=1 EX=4960 EY=128
EI=6 EP=0 EX=4864 EY=256
EI=6 EP=0 EX=4832 EY=256
EI=7 EP=0 EX=3360 EY=320
EI=6 EP=0 EX=4672 EY=288
EI=6 EP=0 EX=4640 EY=288
EI=6 EP=0 EX=4640 EY=320
EI=2 EP=0 EX=3328 EY=384
EI=6 EP=0 EX=4544 EY=352
EI=10 EP=0 EX=2656 EY=384
EI=6 EP=0 EX=4512 EY=352
EI=6 EP=0 EX=4480 EY=352
EI=6 EP=0 EX=4384 EY=352
EI=6 EP=0 EX=7424 EY=320
EI=2 EP=2 EX=4112 EY=189
EI=0 EP=1 EX=3712 EY=96
EI=10 EP=0 EX=4352 EY=448
EI=10 EP=0 EX=4352 EY=288
EI=10 EP=0 EX=1376 EY=224
EI=10 EP=0 EX=5600 EY=416
EI=10 EP=0 EX=4352 EY=224
EI=5 EP=0 EX=928 EY=384
EI=5 EP=2 EX=2592 EY=320
EI=9 EP=0 EX=4320 EY=352
EI=2 EP=0 EX=928 EY=320
EI=9 EP=0 EX=4320 EY=320
EI=6 EP=0 EX=5184 EY=256
EI=9 EP=0 EX=4320 EY=288
EI=3 EP=1 EX=5024 EY=128
EI=4 EP=0 EX=6208 EY=448
EI=9 EP=0 EX=4320 EY=224
EI=6 EP=0 EX=5280 EY=352
EI=9 EP=0 EX=4320 EY=192
EI=5 EP=2 EX=3584 EY=224
EI=6 EP=0 EX=7712 EY=352
EI=10 EP=0 EX=4352 EY=384
EI=8 EP=0 EX=4352 EY=160
EI=4 EP=0 EX=192 EY=448
EI=6 EP=0 EX=4768 EY=256
EI=6 EP=0 EX=4160 EY=192
EI=10 EP=0 EX=5472 EY=448
EI=6 EP=0 EX=4096 EY=192
EI=6 EP=0 EX=4032 EY=192
EI=6 EP=0 EX=3968 EY=192
EI=0 EP=1 EX=832 EY=288
EI=9 EP=0 EX=3616 EY=224
EI=6 EP=0 EX=3904 EY=192
EI=10 EP=0 EX=3648 EY=320
EI=6 EP=0 EX=3840 EY=192
EI=6 EP=0 EX=3776 EY=192
EI=0 EP=1 EX=1760 EY=256
EI=4 EP=2 EX=3456 EY=287
EI=6 EP=0 EX=5216 EY=256
EI=4 EP=2 EX=3648 EY=191
EI=0 EP=1 EX=3872 EY=96
EI=1 EP=0 EX=800 EY=320
EI=10 EP=0 EX=2656 EY=448
EI=10 EP=0 EX=3648 EY=448
EI=4 EP=0 EX=3168 EY=416
EI=10 EP=0 EX=3648 EY=384
EI=10 EP=0 EX=3648 EY=352
EI=5 EP=2 EX=4352 EY=128
EI=6 EP=0 EX=7712 EY=160
EI=10 EP=0 EX=3584 EY=320
EI=10 EP=0 EX=3584 EY=288
EI=4 EP=0 EX=3072 EY=416
EI=10 EP=0 EX=3520 EY=352
EI=10 EP=0 EX=3456 EY=352
EI=8 EP=0 EX=608 EY=256
EI=6 EP=0 EX=4672 EY=256
EI=8 EP=0 EX=2656 EY=288
EI=10 EP=0 EX=5408 EY=384
EI=9 EP=0 EX=3616 EY=384
EI=9 EP=0 EX=3616 EY=352
EI=7 EP=2 EX=7096 EY=320
EI=9 EP=0 EX=3616 EY=320
EI=5 EP=2 EX=4288 EY=160
EI=1 EP=2 EX=3872 EY=192
EI=6 EP=0 EX=4224 EY=192
EI=0 EP=1 EX=5568 EY=256
EI=9 EP=0 EX=3552 EY=448
EI=3 EP=0 EX=2816 EY=448
EI=9 EP=0 EX=3552 EY=320
EI=9 EP=0 EX=3552 EY=288
EI=9 EP=0 EX=3488 EY=352
EI=9 EP=0 EX=3424 EY=448
EI=8 EP=0 EX=3648 EY=192
EI=6 EP=0 EX=5248 EY=0
EI=8 EP=0 EX=3584 EY=256
EI=10 EP=0 EX=3520 EY=448
EI=0 EP=1 EX=4064 EY=96
EI=9 EP=0 EX=5760 EY=416
EI=7 EP=0 EX=3616 EY=192
EI=7 EP=0 EX=3488 EY=320
EI=10 EP=0 EX=5664 EY=416
EI=10 EP=0 EX=3392 EY=384
EI=6 EP=0 EX=4416 EY=352
EI=6 EP=0 EX=7136 EY=320
EI=9 EP=0 EX=3360 EY=384
EI=10 EP=0 EX=3392 EY=352
EI=10 EP=0 EX=1376 EY=384
EI=6 EP=0 EX=3424 EY=64
EI=10 EP=0 EX=3520 EY=384
EI=5 EP=0 EX=3328 EY=448
EI=9 EP=0 EX=576 EY=288
EI=0 EP=2 EX=4527 EY=351
EI=6 EP=0 EX=2656 EY=96
EI=6 EP=0 EX=2656 EY=64
EI=6 EP=0 EX=3712 EY=192
EI=9 EP=0 EX=2560 EY=416
EI=6 EP=0 EX=2784 EY=384
EI=6 EP=0 EX=2496 EY=96
EI=9 EP=0 EX=5760 EY=448
EI=4 EP=1 EX=6144 EY=256
EI=8 EP=0 EX=5536 EY=352
EI=1 EP=0 EX=6144 EY=384
EI=0 EP=2 EX=6223 EY=383
EI=9 EP=0 EX=3360 EY=416
EI=10 EP=0 EX=3648 EY=416
EI=0 EP=1 EX=2112 EY=160
EI=9 EP=0 EX=4320 EY=256
EI=6 EP=0 EX=5152 EY=256
EI=0 EP=1 EX=2112 EY=128
EI=6 EP=0 EX=2656 EY=32
EI=4 EP=0 EX=1600 EY=416
EI=6 EP=0 EX=2752 EY=96
EI=0 EP=1 EX=2080 EY=192
EI=9 EP=0 EX=5568 EY=384
EI=4 EP=0 EX=6016 EY=416
EI=0 EP=1 EX=2016 EY=224
EI=1 EP=0 EX=320 EY=416
EI=0 EP=1 EX=2016 EY=256
EI=6 EP=0 EX=4672 EY=0
EI=0 EP=1 EX=4160 EY=96
EI=1 EP=0 EX=576 EY=416
EI=10 EP=0 EX=3648 EY=288
EI=9 EP=0 EX=2080 EY=384
EI=0 EP=1 EX=2016 EY=288
EI=0 EP=1 EX=1888 EY=256
EI=4 EP=0 EX=1632 EY=448
EI=0 EP=1 EX=1760 EY=224
EI=9 EP=0 EX=576 EY=384
EI=0 EP=1 EX=1760 EY=288
EI=6 EP=0 EX=4512 EY=0
EI=6 EP=0 EX=2016 EY=0
EI=0 EP=2 EX=271 EY=415
EI=0 EP=1 EX=4032 EY=96
EI=6 EP=0 EX=2016 EY=32
EI=6 EP=0 EX=7200 EY=320
EI=6 EP=0 EX=2016 EY=96
EI=6 EP=0 EX=7712 EY=384
EI=0 EP=1 EX=3904 EY=96
EI=7 EP=2 EX=3160 EY=256
EI=6 EP=0 EX=2048 EY=96
EI=0 EP=1 EX=2080 EY=160
EI=3 EP=1 EX=3008 EY=256
EI=10 EP=0 EX=608 EY=288
EI=6 EP=0 EX=2144 EY=96
EI=6 EP=0 EX=2144 EY=256
EI=6 EP=0 EX=2144 EY=224
EI=10 EP=0 EX=2112 EY=320
EI=4 EP=0 EX=3104 EY=416
EI=4 EP=0 EX=6208 EY=416
EI=10 EP=0 EX=2112 EY=288
EI=9 EP=0 EX=5440 EY=416
EI=9 EP=0 EX=3424 EY=384
EI=8 EP=0 EX=2112 EY=256
EI=6 EP=0 EX=7264 EY=320
EI=9 EP=0 EX=2080 EY=288
EI=5 EP=0 EX=928 EY=352
EI=7 EP=2 EX=3224 EY=384
EI=1 EP=0 EX=832 EY=320
EI=9 EP=0 EX=4320 EY=448
EI=4 EP=0 EX=576 EY=448
EI=5 EP=2 EX=3328 EY=352
EI=4 EP=0 EX=2848 EY=416
EI=4 EP=0 EX=512 EY=448
EI=9 EP=0 EX=1344 EY=352
EI=2 EP=2 EX=2416 EY=93
EI=9 EP=0 EX=3424 EY=352
EI=4 EP=0 EX=416 EY=448
EI=6 EP=0 EX=2656 EY=0
EI=7 EP=0 EX=5696 EY=256
EI=9 EP=0 EX=3616 EY=288
EI=1 EP=0 EX=3072 EY=384
EI=1 EP=1 EX=288 EY=288
EI=6 EP=0 EX=6624 EY=320
EI=4 EP=0 EX=480 EY=448
EI=4 EP=0 EX=64 EY=448
EI=0 EP=1 EX=2080 EY=128
EI=3 EP=0 EX=1504 EY=448
EI=1 EP=0 EX=448 EY=416
EI=3 EP=0 EX=768 EY=384
EI=8 EP=0 EX=3456 EY=288
EI=5 EP=2 EX=1088 EY=256
EI=10 EP=0 EX=3456 EY=448
EI=1 EP=0 EX=1600 EY=384
EI=10 EP=0 EX=1376 EY=448
EI=0 EP=1 EX=1216 EY=192
EI=4 EP=0 EX=1600 EY=448
EI=6 EP=0 EX=7360 EY=320
EI=9 EP=0 EX=2624 EY=320
EI=1 EP=0 EX=1536 EY=384
EI=6 EP=0 EX=7712 EY=64
EI=6 EP=0 EX=4704 EY=256
EI=4 EP=0 EX=1664 EY=448
EI=4 EP=0 EX=3232 EY=416
EI=6 EP=0 EX=2304 EY=192
EI=0 EP=1 EX=1888 EY=288
EI=6 EP=0 EX=2016 EY=384
EI=1 EP=0 EX=6240 EY=384
EI=10 EP=0 EX=3648 EY=256
EI=10 EP=0 EX=5536 EY=416
EI=9 EP=0 EX=2080 EY=448
EI=10 EP=0 EX=2112 EY=384
EI=4 EP=0 EX=1568 EY=448
EI=7 EP=0 EX=2560 EY=352
EI=7 EP=0 EX=1344 EY=160
EI=1 EP=0 EX=3040 EY=384
EI=9 EP=0 EX=3424 EY=320
EI=9 EP=0 EX=1344 EY=320
EI=6 EP=0 EX=5120 EY=256
EI=9 EP=0 EX=1344 EY=384
EI=9 EP=0 EX=3552 EY=384
EI=3 EP=1 EX=6176 EY=256
EI=9 EP=0 EX=2080 EY=416
EI=9 EP=0 EX=1344 EY=416
EI=6 EP=0 EX=4736 EY=256
EI=6 EP=0 EX=7712 EY=448
EI=3 EP=1 EX=3264 EY=256
EI=1 EP=0 EX=3104 EY=384
EI=6 EP=0 EX=2176 EY=224
EI=5 EP=1 EX=1600 EY=256
EI=6 EP=0 EX=1888 EY=384
EI=0 EP=1 EX=1632 EY=160
EI=6 EP=0 EX=2464 EY=96
EI=0 EP=1 EX=5472 EY=256
EI=10 EP=0 EX=3392 EY=448
EI=10 EP=0 EX=4352 EY=320
EI=7 EP=0 EX=3424 EY=288
EI=4 EP=0 EX=896 EY=416
EI=6 EP=0 EX=2080 EY=96
EI=6 EP=0 EX=2304 EY=128
EI=9 EP=0 EX=1344 EY=448
EI=8 EP=0 EX=5600 EY=352
EI=6 EP=0 EX=2272 EY=224
EI=10 EP=0 EX=2112 EY=352
EI=6 EP=0 EX=7712 EY=0
EI=9 EP=0 EX=2560 EY=384
EI=10 EP=0 EX=2592 EY=384
EI=10 EP=0 EX=1376 EY=320
EI=7 EP=0 EX=2624 EY=288
EI=9 EP=0 EX=2624 EY=352
EI=5 EP=0 EX=1696 EY=416
EI=1 EP=0 EX=6176 EY=384
EI=4 EP=0 EX=3040 EY=416
EI=6 EP=0 EX=2208 EY=224
EI=1 EP=0 EX=2976 EY=384
EI=4 EP=0 EX=6176 EY=448
EI=6 EP=0 EX=1952 EY=384
EI=4 EP=0 EX=544 EY=448
EI=10 EP=0 EX=2112 EY=416
EI=10 EP=0 EX=5792 EY=448
EI=9 EP=0 EX=6496 EY=416
EI=3 EP=0 EX=5984 EY=416
EI=9 EP=0 EX=5696 EY=320
EI=6 EP=0 EX=5056 EY=256
EI=3 EP=0 EX=768 EY=448
EI=4 EP=0 EX=896 EY=448
EI=6 EP=0 EX=4704 EY=0
EI=3 EP=0 EX=5984 EY=448
EI=0 EP=1 EX=6144 EY=192
EI=5 EP=2 EX=1472 EY=320
EI=10 EP=0 EX=5792 EY=416
EI=10 EP=0 EX=5664 EY=352
EI=10 EP=0 EX=2656 EY=320
EI=4 EP=0 EX=896 EY=384
EI=0 EP=1 EX=6112 EY=160
EI=9 EP=0 EX=5696 EY=416
EI=10 EP=0 EX=5728 EY=352
EI=6 EP=0 EX=6720 EY=320
EI=10 EP=0 EX=2656 EY=416
EI=9 EP=0 EX=5696 EY=384
EI=9 EP=0 EX=5760 EY=320
EI=6 EP=0 EX=6656 EY=320
EI=4 EP=0 EX=384 EY=448
EI=6 EP=0 EX=4800 EY=0
EI=1 EP=0 EX=6208 EY=384
EI=10 EP=0 EX=3456 EY=384
EI=9 EP=0 EX=5568 EY=416
EI=2 EP=2 EX=1680 EY=381
EI=1 EP=2 EX=1312 EY=288
EI=9 EP=0 EX=5376 EY=448
EI=2 EP=0 EX=6304 EY=384
EI=4 EP=0 EX=6080 EY=416
EI=1 EP=0 EX=352 EY=416
EI=2 EP=2 EX=6160 EY=381
EI=0 EP=0 EX=1504 EY=384
EI=0 EP=1 EX=480 EY=288
EI=8 EP=0 EX=5472 EY=320
EI=4 EP=0 EX=6048 EY=448
EI=2 EP=2 EX=1904 EY=381
EI=6 EP=0 EX=5952 EY=352
EI=5 EP=0 EX=6304 EY=416
EI=6 EP=0 EX=7712 EY=128
EI=4 EP=0 EX=128 EY=448
EI=7 EP=0 EX=5760 EY=288
EI=4 EP=0 EX=6016 EY=448
EI=6 EP=0 EX=4768 EY=0
EI=9 EP=0 EX=2080 EY=352
EI=9 EP=0 EX=5696 EY=288
