--Level Data--
5760.0 480.0
74.0 408.0
1 RigitMedium
--Tile Data--
1 64.0 416.0
4 64.0 448.0
1 32.0 416.0
4 32.0 448.0
6 0.0 384.0
1 0.0 416.0
4 0.0 448.0
1 96.0 416.0
4 96.0 448.0
1 128.0 416.0
4 128.0 448.0
1 160.0 416.0
4 160.0 448.0
1 192.0 416.0
4 192.0 448.0
1 224.0 416.0
4 224.0 448.0
1 256.0 416.0
4 256.0 448.0
1 288.0 416.0
4 288.0 448.0
1 320.0 416.0
4 320.0 448.0
1 352.0 416.0
4 352.0 448.0
1 384.0 416.0
4 384.0 448.0
1 416.0 416.0
4 416.0 448.0
1 448.0 416.0
4 448.0 448.0
1 480.0 416.0
4 480.0 448.0
1 512.0 416.0
4 512.0 448.0
2 544.0 416.0
5 544.0 448.0
6 544.0 384.0
6 576.0 384.0
0 672.0 288.0
1 704.0 288.0
1 736.0 288.0
1 768.0 288.0
1 800.0 288.0
1 832.0 288.0
1 864.0 288.0
1 896.0 288.0
2 928.0 288.0
3 672.0 320.0
4 704.0 320.0
4 736.0 320.0
4 768.0 320.0
4 800.0 320.0
4 832.0 320.0
4 864.0 320.0
4 896.0 320.0
5 928.0 320.0
3 672.0 352.0
4 704.0 352.0
4 736.0 352.0
4 768.0 352.0
4 800.0 352.0
4 832.0 352.0
4 864.0 352.0
4 896.0 352.0
5 928.0 352.0
3 672.0 384.0
4 704.0 384.0
4 736.0 384.0
4 768.0 384.0
4 800.0 384.0
4 832.0 384.0
4 864.0 384.0
4 896.0 384.0
5 928.0 384.0
3 672.0 416.0
4 704.0 416.0
4 736.0 416.0
4 768.0 416.0
4 800.0 416.0
4 832.0 416.0
4 864.0 416.0
4 896.0 416.0
5 928.0 416.0
3 672.0 448.0
4 704.0 448.0
4 736.0 448.0
4 768.0 448.0
4 800.0 448.0
4 832.0 448.0
4 864.0 448.0
4 896.0 448.0
5 928.0 448.0
9 864.0 256.0
10 896.0 256.0
9 864.0 224.0
10 896.0 224.0
7 864.0 192.0
8 896.0 192.0
6 960.0 288.0
6 992.0 288.0
6 1024.0 288.0
6 1056.0 288.0
6 1088.0 288.0
6 1120.0 288.0
6 1152.0 288.0
6 1184.0 288.0
6 1216.0 288.0
6 1248.0 288.0
6 1280.0 288.0
6 1312.0 288.0
6 1344.0 288.0
6 1376.0 288.0
6 1408.0 288.0
6 1440.0 288.0
6 1472.0 288.0
6 1472.0 320.0
6 1504.0 320.0
6 1504.0 352.0
0 1600.0 384.0
1 1632.0 384.0
1 1664.0 384.0
2 1696.0 384.0
3 1600.0 416.0
4 1632.0 416.0
4 1664.0 416.0
5 1696.0 416.0
3 1600.0 448.0
4 1632.0 448.0
4 1664.0 448.0
5 1696.0 448.0
7 1632.0 320.0
8 1664.0 320.0
9 1632.0 352.0
10 1664.0 352.0
0 1824.0 320.0
1 1856.0 320.0
1 1888.0 320.0
1 1920.0 320.0
1 1952.0 320.0
1 1984.0 320.0
1 2016.0 320.0
1 2048.0 320.0
1 2080.0 320.0
2 2112.0 320.0
3 1824.0 352.0
4 1856.0 352.0
4 1888.0 352.0
4 1920.0 352.0
4 1952.0 352.0
4 1984.0 352.0
4 2016.0 352.0
4 2048.0 352.0
4 2080.0 352.0
5 2112.0 352.0
3 1824.0 384.0
4 1856.0 384.0
4 1888.0 384.0
4 1920.0 384.0
4 1952.0 384.0
4 1984.0 384.0
4 2016.0 384.0
4 2048.0 384.0
4 2080.0 384.0
5 2112.0 384.0
3 1824.0 416.0
4 1856.0 416.0
4 1888.0 416.0
4 1920.0 416.0
4 1952.0 416.0
4 1984.0 416.0
4 2016.0 416.0
4 2048.0 416.0
4 2080.0 416.0
5 2112.0 416.0
3 1824.0 448.0
4 1856.0 448.0
4 1888.0 448.0
4 1920.0 448.0
4 1952.0 448.0
4 1984.0 448.0
4 2016.0 448.0
4 2048.0 448.0
4 2080.0 448.0
5 2112.0 448.0
7 1920.0 256.0
8 1952.0 256.0
